id;title;sitename;author;date;source;inferenceAvailable;topic;coverImageId;biasPercentage;createdAt
9a4c7cda-fd8c-45ef-a7fe-ec7d7c70726b;Irish Government Abandons Plan to Teach Children Gender is a ‘Spectrum’;Breitbart;Peter Caddle;1677542400;https://www.breitbart.com/europe/2023/02/28/irish-government-abandons-plan-to-teach-children-gender-is-a-spectrum/;1;gender;abb166ef-2189-416a-86ba-11ebdf488d0c;0.1764705882352941;1677691106
00d3bad9-ba2d-4a28-98f8-cc44fef37ae9;Biden raises eyebrows with racial comment at Black History Month event: 'But I'm not stupid';TheBlaze;Chris Enloe;1677542400;https://www.theblaze.com/news/biden-white-boy-not-stupid;1;blm;45500ffa-9416-4c08-b339-38980ede957f;0.2105263157894737;1677691170
b3d9afea-ab3c-4c0c-a753-6784d0b49fef;Dozens of schoolgirls in Iran taken to hospital after poisoning;The Guardian;Guardian staff reporter;1677542400;https://www.theguardian.com/world/2023/feb/28/iran-schoolgirls-hospital-poisoning-pardis-qom;1;islam;c3b1850b-900b-4905-9afb-223de1fc5e56;0.05;1677691278
0f8697f6-4de6-4e45-93f7-5bc689bf6548;Former Reagan speechwriter rips Greg Abbott for his 'cruel' and 'heartless' immigration stunts;Alternet;Alex Henderson;1672099200;https://www.alternet.org/former-reagan-speechwriter-rips-greg-abbott-for-his-cruel-and-heartless-immigration-stunts/;1;immigration;730bdef2-277f-402a-b8b6-bba8fe0d730a;0.4736842105263158;1677691327
66e17977-193e-4f5b-8acb-f1148adf3bbe;Republicans Really Want You to Keep Paying Junk Fees;The Daily Beast;Aidan Smith;1676937600;https://www.thedailybeast.com/republicans-really-want-you-to-keep-paying-junk-fees?ref=wrap;1;middle-class;7b82d83a-a8a9-4823-8527-43a47fe26c88;0.4571428571428571;1677691944
abad62dc-27a8-4b56-8363-ef00109c78f7;Leftists: Adoption Is Worse Than Abortion, But Surrogacy Is Great;The Federalist;Elle Purnell;1675382400;https://thefederalist.com/2023/02/03/leftist-logic-adoption-is-more-traumatic-than-abortion-but-surrogacy-is-just-great/;1;abortion;effd61b8-3ee6-4ed3-9f96-1e805b1d9801;0.4117647058823529;1677691991
0fb6287d-7e32-4867-adae-075531fb5003;Climate Trauma Is Rewiring Our Brains Into Something Alarmingly Worse;The Daily Beast;Joanna Thompson;1674000000;https://www.thedailybeast.com/climate-disaster-trauma-is-rewiring-our-brains-into-something-alarmingly-worse;1;environment;d46028a4-7d83-4e49-b05c-119e5dcca6fe;0.1333333333333333;1677692037
68be8d34-e8eb-4821-a8b8-4fb286174f40;Buffalo mass shooting gunman apologizes, sentenced to life without parole;Reuters;"Robert Kirkham; Tyler Clifford";1676419200;https://www.reuters.com/world/us/gunman-racist-buffalo-shooting-faces-life-without-parole-sentencing-2023-02-15/;1;gun-control;fc158c3a-9987-43f1-900f-7544191f5761;0.06060606060606061;1677692122
4f1be26f-f7fa-4234-919f-175825001232;FBI director endorses theory Covid-19 virus may have leaked from Chinese lab;The Guardian;Lois Beckett;1677628800;https://www.theguardian.com/us-news/2023/feb/28/fbi-director-endorses-china-lab-leak-covid-theory;1;coronavirus;f4a406e4-16c9-450c-91db-6eec116fb1df;0;1677692230
99defa74-7917-4f11-80c4-3d470d075b91;Refusing to Forgive Institutional Racism Is Not Cancel Culture;The Daily Beast;Shan Wu;1672963200;https://www.thedailybeast.com/refusing-to-forgive-institutional-racism-is-not-cancel-culture;1;white-nationalism;bd871712-ead8-4c83-8029-99c08b00ff87;0.6764705882352942;1677692262
3a93fcc6-bcf7-49f0-b58f-51c8a0a28eec;Russian forces hammer Ukraine's Bakhmut in quest for breakthrough in war;Reuters;Dan Peleschuk;1677542400;https://www.reuters.com/world/europe/russian-offensive-eastern-ukraine-focused-bakhmut-2023-02-28;1;international-politics-and-world-news;2a6a12c4-4ade-43b8-98b3-43bb7f41a2b3;0.0303030303030303;1677692306
dc7f4951-2a7d-484f-ae8c-cfe15d3f454c;Hawley slams Biden nominee for ‘stonewalling’ on past tweets: ‘This is unbelievable’;Fox News;Jessica Chasmar;1677542400;https://www.foxnews.com/politics/hawley-slams-biden-nominee-stonewalling-past-tweets-unbelievable;1;elections-2020;b0f075c5-d61f-4021-bd01-05a1af9c860a;0.1875;1677692333